entity_id,interval_dt_tm,dev_username,app_id,api_name,resource_name,response_status_code
bbva,"2016-03-03 09:47:02",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts/{accountId}/transactions,200
bbva,"2016-03-03 09:46:58",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-03 09:46:54",everest,app.bbva.dev.clientapi,identity-sbx,GET#identity-sbx#v1#/me,200
bbva,"2016-03-03 09:46:44",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-03 09:46:37",everest,app.bbva.dev.clientapi,cards-sbx,GET#cards-sbx#v1#/me/cards,200
bbva,"2016-03-03 09:46:28",everest,app.bbva.dev.clientapi,identity-sbx,GET#identity-sbx#v1#/me,200
default_entity,"2016-03-03 09:32:01",Developer,app.default.GenoaApiExecutor,GenoaAPI,PUT#GenoaAPI#1#/application/{appId},200
default_entity,"2016-03-03 09:31:13",Developer,app.default.GenoaApiExecutor,GenoaAPI,PUT#GenoaAPI#1#/application/{appId},200
bbva,"2016-03-03 09:20:31",everest,app.bbva.dev.clientapi,identity-sbx,GET#identity-sbx#v1#/me,200
bbva,"2016-03-03 09:19:09",everest,app.bbva.dev.clientapi,identity-sbx,GET#identity-sbx#v1#/me,200
default_entity,"2016-03-02 17:34:35",Developer,app.default.GenoaApiExecutor,GenoaAPI,POST#GenoaAPI#1#/developer,400
default_entity,"2016-03-02 17:04:54",Developer,app.default.GenoaApiExecutor,GenoaAPI,POST#GenoaAPI#1#/developer,400
bbva,"2016-03-02 16:40:08",sgonzalez,app.bbva.PRUEBA_SP,paystats_sbx,GET#paystats_sbx#2#/zipcodes/{zipcode}/basic_stats,200
bbva,"2016-03-02 16:17:45",everest,app.bbva.test.clientapi.pro,accounts,GET#accounts#v1#/me/accounts/{accountId}/transactions,206
bbva,"2016-03-02 16:17:43",everest,app.bbva.test.clientapi.pro,accounts,GET#accounts#v1#/me/accounts/{accountId}/transactions,206
default_entity,"2016-03-02 16:03:13",Developer,app.default.GenoaApiExecutor,GenoaAPI,POST#GenoaAPI#1#/developer,201
